instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt
-0.016939691,-0.408040631,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
-0.016939691,-0.408040631,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,0,-0.198672902,-0.274395185,1,0,0,0.1956,button_right,0.1956,1,0,0,0,1,1,stimuli/blank.png,Bad,l,
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,0,0.33778323,-0.280640315,1,0,0,0.6829,button_right,0.6829,0,0,1,1,6,1,stimuli/blank.png,Love,a,
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,1.2828,0,0,2,2,3,1,stimuli/blank.png,Hurt,l,1.2828
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.326,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,1.326
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,0,0.325917328,-0.301249053,1,0,0,1.2818,button_right,1.2818,1,0,4,4,5,1,stimuli/blank.png,Agony,l,
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,0,0.303434845,-0.296253108,1,0,0,0.948,button_right,0.948,0,0,5,5,2,1,stimuli/blank.png,Happy,a,
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,0,-0.414129572,-0.283762714,1,0,0,1.2475,button_left,1.2475,0,0,6,6,7,1,stimuli/blank.png,Evil,l,
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,0,0.424590164,-0.271272453,1,0,0,1.5149,button_right,1.5149,0,0,7,7,8,1,stimuli/blank.png,Joy,a,
,,,,,,,,,,,,,zhangxinxin,1,001,female,2023-06-22_13h28.14.332,openIAT,2020.1.0rc3,Win32,60,,0,-0.539031999,-0.291257031,1,0,0,0.9658,button_left,0.9658,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,
