instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt
0.085185242,-0.377777778,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
0.085185242,-0.377777778,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,,0,-0.301851824,-0.275925954,1,0,0,0.8786,button_left,0.8786,0,0,0,0,9,1,stimuli/blank.png,Nasty,l,
,,,,,,,,,,,,,hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,,0,-0.252777778,-0.249074131,1,0,0,1.1803,button_left,1.1803,0,0,1,1,7,1,stimuli/blank.png,Evil,l,
,,,,,,,,,,,,,hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,,0,-0.451851824,-0.304629686,1,0,0,2.3139,button_left,2.3139,1,0,2,2,6,1,stimuli/blank.png,Love,a,
,,,,,,,,,,,,,hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,,0,0.194444444,-0.277777778,1,0,0,1.5975,button_right,1.5975,1,0,3,3,5,1,stimuli/blank.png,Agony,l,
,,,,,,,,,,,,,hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.817,1,0,4,4,2,1,stimuli/blank.png,Happy,a,1.817
,,,,,,,,,,,,,hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.6743,1,0,5,5,8,1,stimuli/blank.png,Joy,a,0.6743
,,,,,,,,,,,,,hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,1.4854,0,0,6,6,4,1,stimuli/blank.png,Pleasure,a,1.4854
,,,,,,,,,,,,,hanto,1,001,male,2023-06-05_14h45.39.398,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,5.2986,0,0,7,7,1,1,stimuli/blank.png,Bad,l,5.2986
