instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.021075017,-0.389865259,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0.101035191,-0.359152975,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.206,,,,,,,,0.206,0,0,0,0,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.1907,,,,,,,,0.1907,1,0,1,1,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.5079,,,,,,,,0.5079,0,0,2,2,1,1,stimuli/blank.png,Bad,l
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.0004,,,,,,,,0.0004,1,0,3,3,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5325,,,,,,,,0.5325,1,0,4,4,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.5318,,,,,,,,0.5318,0,0,5,5,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4939,,,,,,,,0.4939,1,0,6,6,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4031,,,,,,,,0.4031,1,0,7,7,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,,Gabriel,1,001,male,2022-07-31_14h44.56.829,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.4475,,,,,,,,0.4475,0,0,8,8,3,1,stimuli/blank.png,Hurt,l
