instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right,key_resp.rt
0.040364583,-0.412760417,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0703125,-0.3828125,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,0,0.291666667,-0.26171875,1,0,0,2.827465,button_right,2.827465,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,0,0.2890625,-0.263020833,1,0,0,1.913865,button_right,1.913865,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,0,-0.587239583,-0.384114583,1,0,0,1.64698,button_left,1.64698,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,0,-0.361979167,-0.313802083,1,0,0,1.331405,button_left,1.331405,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,0,-0.361979167,-0.313802083,1,0,0,1.01411,button_left,1.01411,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,0,0.381510417,-0.27734375,1,0,0,1.26447,button_right,1.26447,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,0,-0.30859375,-0.325520833,1,0,0,1.84617,button_left,1.84617,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,,
,,,,,,,,,,,,,g,2,001,female,2020-11-23_15h20.34.917,openIAT,2020.1.0rc3,Win32,60,,0,0.59765625,-0.255208333,1,0,0,1.54727,button_right,1.54727,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
