instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.6234,1,0,9,9,4,1,stimuli/black_3.jpg,,a,0.6234,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,2.1305,1,0,0,0,18,1,stimuli/blank.png,Joy,a,2.1305,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,2.0897,1,0,1,1,1,1,stimuli/white_1.jpg,,l,2.0897,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,1.3465,1,0,2,2,0,1,stimuli/black_1.jpg,,a,1.3465,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.7109,1,0,3,3,2,1,stimuli/black_2.jpg,,a,0.7109,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,0,,,,,,,,0.7571,0,0,4,4,5,1,stimuli/white_3.jpg,,l,0.7571,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,1.0099,1,0,5,5,9,1,stimuli/white_5.jpg,,l,1.0099,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,0.7396,1,0,6,6,3,1,stimuli/white_2.jpg,,l,0.7396,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,1.5495,1,0,7,7,15,1,stimuli/blank.png,Agony,l,1.5495,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,1.2797,1,0,8,8,16,1,stimuli/blank.png,Love,a,1.2797,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.8853,1,0,9,9,4,1,stimuli/black_3.jpg,,a,0.8853,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.9217,1,0,10,10,14,1,stimuli/blank.png,Pleasure,a,0.9217,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.7135,1,0,11,11,8,1,stimuli/black_5.jpg,,a,0.7135,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.509,1,0,12,12,6,1,stimuli/black_4.jpg,,a,0.509,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.4375,1,0,13,13,10,1,stimuli/blank.png,Good,a,0.4375,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,1.2808,1,0,14,14,7,1,stimuli/white_4.jpg,,l,1.2808,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,0.9063,1,0,15,15,17,1,stimuli/blank.png,Evil,l,0.9063,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.8627,1,0,16,16,12,1,stimuli/blank.png,Happy,a,0.8627,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,1.2575,1,0,17,17,13,1,stimuli/blank.png,Hurt,l,1.2575,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,0.6119,1,0,18,18,19,1,stimuli/blank.png,Nasty,l,0.6119,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,0.4552,1,0,19,19,11,1,stimuli/blank.png,Bad,l,0.4552,,,,,,,,
,,,,,,,,,,,,,ld,2,001,female,2023-03-13_14h51.04.170,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
