instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.106481481,-0.395370413,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hp,2,001,male,2023-07-11_11h02.51.250,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
0.255555541,-0.228703746,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hp,2,001,male,2023-07-11_11h02.51.250,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,hp,2,001,male,2023-07-11_11h02.51.250,openIAT,2020.1.0rc3,Win32,60,l,1,1.4474,,,,,,,,1.4474,1,0,0,0,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,hp,2,001,male,2023-07-11_11h02.51.250,openIAT,2020.1.0rc3,Win32,60,l,1,1.3148,,,,,,,,1.3148,1,0,1,1,1,1,stimuli/blank.png,Bad,l
,,,,,,,,,,,,,hp,2,001,male,2023-07-11_11h02.51.250,openIAT,2020.1.0rc3,Win32,60,a,1,1.5472,,,,,,,,1.5472,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,hp,2,001,male,2023-07-11_11h02.51.250,openIAT,2020.1.0rc3,Win32,60,l,1,1.4694,,,,,,,,1.4694,1,0,3,3,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,,hp,2,001,male,2023-07-11_11h02.51.250,openIAT,2020.1.0rc3,Win32,60,a,1,4.6492,,,,,,,,4.6492,1,0,4,4,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,hp,2,001,male,2023-07-11_11h02.51.250,openIAT,2020.1.0rc3,Win32,60,a,1,2.4807,,,,,,,,2.4807,1,0,5,5,0,1,stimuli/blank.png,Good,a
