0.7838 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
34.0911 	DATA 	Mouse: Left button down, pos=(1307,235)
34.1188 	EXP 	fixation: autoDraw = False
34.1188 	EXP 	image_stim: autoDraw = False
34.1188 	EXP 	text_stim: autoDraw = False
34.1188 	EXP 	button_left: autoDraw = False
34.1188 	EXP 	trial_label_left: autoDraw = False
34.1188 	EXP 	button_right: autoDraw = False
34.1188 	EXP 	trial_label_right: autoDraw = False
34.1188 	EXP 	feedback_msg: text = '+'
34.1188 	EXP 	feedback_msg: autoDraw = True
34.1634 	DATA 	Mouse:  Left button up, pos=(1307,235)
35.1170 	EXP 	New trial (rep=0, index=1): OrderedDict([('conds_file', 'cong_train.xlsx'), ('label_left', 'A = \nWhite'), ('label_right', 'L = \nBlack')])
35.1532 	EXP 	feedback_msg: autoDraw = False
35.1532 	EXP 	ready_label_L: text = 'A = \nWhite'
35.1532 	EXP 	ready_label_R: text = 'L = \nBlack'
35.1532 	EXP 	main_ready_msg: autoDraw = True
35.1532 	EXP 	button_L: autoDraw = True
35.1532 	EXP 	ready_label_L: autoDraw = True
35.1532 	EXP 	button_R: autoDraw = True
35.1532 	EXP 	ready_label_R: autoDraw = True
38.5937 	DATA 	Keypress: space
38.6183 	EXP 	Imported resources/cong_train.xlsx as conditions, 10 conditions, 3 params
38.6186 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
38.6190 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimImage', 'stimuli/white_1.jpg'), ('stimWord', ' '), ('CorrAns', 'a')])
38.6481 	EXP 	main_ready_msg: autoDraw = False
38.6481 	EXP 	button_L: autoDraw = False
38.6481 	EXP 	ready_label_L: autoDraw = False
38.6481 	EXP 	button_R: autoDraw = False
38.6481 	EXP 	ready_label_R: autoDraw = False
38.6481 	EXP 	image_stim: image = 'stimuli/white_1.jpg'
38.6481 	EXP 	text_stim: text = ' '
38.6481 	EXP 	trial_label_left: text = 'A = \nWhite'
38.6481 	EXP 	trial_label_right: text = 'L = \nBlack'
38.6481 	EXP 	fixation: autoDraw = True
39.1396 	EXP 	fixation: autoDraw = False
39.1396 	EXP 	image_stim: autoDraw = True
39.1396 	EXP 	text_stim: autoDraw = True
39.1396 	EXP 	button_left: autoDraw = True
39.1396 	EXP 	trial_label_left: autoDraw = True
39.1396 	EXP 	button_right: autoDraw = True
39.1396 	EXP 	trial_label_right: autoDraw = True
39.9954 	DATA 	Mouse: Left button down, pos=(679,264)
40.0219 	EXP 	fixation: autoDraw = False
40.0219 	EXP 	image_stim: autoDraw = False
40.0219 	EXP 	text_stim: autoDraw = False
40.0219 	EXP 	button_left: autoDraw = False
40.0219 	EXP 	trial_label_left: autoDraw = False
40.0219 	EXP 	button_right: autoDraw = False
40.0219 	EXP 	trial_label_right: autoDraw = False
40.0219 	EXP 	feedback_msg: text = '+'
40.0219 	EXP 	feedback_msg: autoDraw = True
40.0672 	DATA 	Mouse:  Left button up, pos=(679,264)
41.0048 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimImage', 'stimuli/black_3.jpg'), ('stimWord', ' '), ('CorrAns', 'l')])
41.0311 	EXP 	feedback_msg: autoDraw = False
41.0311 	EXP 	image_stim: image = 'stimuli/black_3.jpg'
41.0311 	EXP 	text_stim: text = ' '
41.0311 	EXP 	trial_label_left: text = 'A = \nWhite'
41.0311 	EXP 	trial_label_right: text = 'L = \nBlack'
41.0311 	EXP 	fixation: autoDraw = True
41.5210 	EXP 	fixation: autoDraw = False
41.5210 	EXP 	image_stim: autoDraw = True
41.5210 	EXP 	text_stim: autoDraw = True
41.5210 	EXP 	button_left: autoDraw = True
41.5210 	EXP 	trial_label_left: autoDraw = True
41.5210 	EXP 	button_right: autoDraw = True
41.5210 	EXP 	trial_label_right: autoDraw = True
42.3564 	DATA 	Mouse: Left button down, pos=(1482,258)
42.3822 	EXP 	fixation: autoDraw = False
42.3822 	EXP 	image_stim: autoDraw = False
42.3822 	EXP 	text_stim: autoDraw = False
42.3822 	EXP 	button_left: autoDraw = False
42.3822 	EXP 	trial_label_left: autoDraw = False
42.3822 	EXP 	button_right: autoDraw = False
42.3822 	EXP 	trial_label_right: autoDraw = False
42.3822 	EXP 	feedback_msg: text = '+'
42.3822 	EXP 	feedback_msg: autoDraw = True
42.4909 	DATA 	Mouse:  Left button up, pos=(1474,258)
43.3803 	EXP 	New trial (rep=0, index=2): OrderedDict([('stimImage', 'stimuli/white_4.jpg'), ('stimWord', ' '), ('CorrAns', 'a')])
43.4111 	EXP 	feedback_msg: autoDraw = False
43.4111 	EXP 	image_stim: image = 'stimuli/white_4.jpg'
43.4111 	EXP 	text_stim: text = ' '
43.4111 	EXP 	trial_label_left: text = 'A = \nWhite'
43.4111 	EXP 	trial_label_right: text = 'L = \nBlack'
43.4111 	EXP 	fixation: autoDraw = True
43.8896 	EXP 	fixation: autoDraw = False
43.8896 	EXP 	image_stim: autoDraw = True
43.8896 	EXP 	text_stim: autoDraw = True
43.8896 	EXP 	button_left: autoDraw = True
43.8896 	EXP 	trial_label_left: autoDraw = True
43.8896 	EXP 	button_right: autoDraw = True
43.8896 	EXP 	trial_label_right: autoDraw = True
44.8559 	DATA 	Mouse: Left button down, pos=(637,259)
44.8828 	EXP 	fixation: autoDraw = False
44.8828 	EXP 	image_stim: autoDraw = False
44.8828 	EXP 	text_stim: autoDraw = False
44.8828 	EXP 	button_left: autoDraw = False
44.8828 	EXP 	trial_label_left: autoDraw = False
44.8828 	EXP 	button_right: autoDraw = False
44.8828 	EXP 	trial_label_right: autoDraw = False
44.8828 	EXP 	feedback_msg: text = '+'
44.8828 	EXP 	feedback_msg: autoDraw = True
44.9273 	DATA 	Mouse:  Left button up, pos=(637,259)
45.8731 	EXP 	New trial (rep=0, index=3): OrderedDict([('stimImage', 'stimuli/white_2.jpg'), ('stimWord', ' '), ('CorrAns', 'a')])
45.8973 	EXP 	feedback_msg: autoDraw = False
45.8973 	EXP 	image_stim: image = 'stimuli/white_2.jpg'
45.8973 	EXP 	text_stim: text = ' '
45.8973 	EXP 	trial_label_left: text = 'A = \nWhite'
45.8973 	EXP 	trial_label_right: text = 'L = \nBlack'
45.8973 	EXP 	fixation: autoDraw = True
46.3707 	EXP 	fixation: autoDraw = False
46.3707 	EXP 	image_stim: autoDraw = True
46.3707 	EXP 	text_stim: autoDraw = True
46.3707 	EXP 	button_left: autoDraw = True
46.3707 	EXP 	trial_label_left: autoDraw = True
46.3707 	EXP 	button_right: autoDraw = True
46.3707 	EXP 	trial_label_right: autoDraw = True
47.5905 	DATA 	Mouse: Left button down, pos=(662,279)
47.6172 	EXP 	fixation: autoDraw = False
47.6172 	EXP 	image_stim: autoDraw = False
47.6172 	EXP 	text_stim: autoDraw = False
47.6172 	EXP 	button_left: autoDraw = False
47.6172 	EXP 	trial_label_left: autoDraw = False
47.6172 	EXP 	button_right: autoDraw = False
47.6172 	EXP 	trial_label_right: autoDraw = False
47.6172 	EXP 	feedback_msg: text = '+'
47.6172 	EXP 	feedback_msg: autoDraw = True
47.7035 	DATA 	Mouse:  Left button up, pos=(662,279)
48.6124 	EXP 	New trial (rep=0, index=4): OrderedDict([('stimImage', 'stimuli/white_5.jpg'), ('stimWord', ' '), ('CorrAns', 'a')])
48.6395 	EXP 	feedback_msg: autoDraw = False
48.6395 	EXP 	image_stim: image = 'stimuli/white_5.jpg'
48.6395 	EXP 	text_stim: text = ' '
48.6395 	EXP 	trial_label_left: text = 'A = \nWhite'
48.6395 	EXP 	trial_label_right: text = 'L = \nBlack'
48.6395 	EXP 	fixation: autoDraw = True
49.1333 	EXP 	fixation: autoDraw = False
49.1333 	EXP 	image_stim: autoDraw = True
49.1333 	EXP 	text_stim: autoDraw = True
49.1333 	EXP 	button_left: autoDraw = True
49.1333 	EXP 	trial_label_left: autoDraw = True
49.1333 	EXP 	button_right: autoDraw = True
49.1333 	EXP 	trial_label_right: autoDraw = True
50.6535 	DATA 	Mouse: Left button down, pos=(660,279)
50.6775 	EXP 	fixation: autoDraw = False
50.6775 	EXP 	image_stim: autoDraw = False
50.6775 	EXP 	text_stim: autoDraw = False
50.6775 	EXP 	button_left: autoDraw = False
50.6775 	EXP 	trial_label_left: autoDraw = False
50.6775 	EXP 	button_right: autoDraw = False
50.6775 	EXP 	trial_label_right: autoDraw = False
50.6775 	EXP 	feedback_msg: text = '+'
50.6775 	EXP 	feedback_msg: autoDraw = True
50.7220 	DATA 	Mouse:  Left button up, pos=(660,279)
51.6723 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimImage', 'stimuli/black_2.jpg'), ('stimWord', ' '), ('CorrAns', 'l')])
51.6967 	EXP 	feedback_msg: autoDraw = False
51.6967 	EXP 	image_stim: image = 'stimuli/black_2.jpg'
51.6967 	EXP 	text_stim: text = ' '
51.6967 	EXP 	trial_label_left: text = 'A = \nWhite'
51.6967 	EXP 	trial_label_right: text = 'L = \nBlack'
51.6967 	EXP 	fixation: autoDraw = True
52.1867 	EXP 	fixation: autoDraw = False
52.1867 	EXP 	image_stim: autoDraw = True
52.1867 	EXP 	text_stim: autoDraw = True
52.1867 	EXP 	button_left: autoDraw = True
52.1867 	EXP 	trial_label_left: autoDraw = True
52.1867 	EXP 	button_right: autoDraw = True
52.1867 	EXP 	trial_label_right: autoDraw = True
53.2614 	DATA 	Mouse: Left button down, pos=(1285,257)
53.2853 	EXP 	fixation: autoDraw = False
53.2853 	EXP 	image_stim: autoDraw = False
53.2853 	EXP 	text_stim: autoDraw = False
53.2853 	EXP 	button_left: autoDraw = False
53.2853 	EXP 	trial_label_left: autoDraw = False
53.2853 	EXP 	button_right: autoDraw = False
53.2853 	EXP 	trial_label_right: autoDraw = False
53.2853 	EXP 	feedback_msg: text = '+'
53.2853 	EXP 	feedback_msg: autoDraw = True
53.3296 	DATA 	Mouse:  Left button up, pos=(1285,257)
54.2716 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimImage', 'stimuli/black_4.jpg'), ('stimWord', ' '), ('CorrAns', 'l')])
54.2954 	EXP 	feedback_msg: autoDraw = False
54.2954 	EXP 	image_stim: image = 'stimuli/black_4.jpg'
54.2954 	EXP 	text_stim: text = ' '
54.2954 	EXP 	trial_label_left: text = 'A = \nWhite'
54.2954 	EXP 	trial_label_right: text = 'L = \nBlack'
54.2954 	EXP 	fixation: autoDraw = True
54.7665 	EXP 	fixation: autoDraw = False
54.7665 	EXP 	image_stim: autoDraw = True
54.7665 	EXP 	text_stim: autoDraw = True
54.7665 	EXP 	button_left: autoDraw = True
54.7665 	EXP 	trial_label_left: autoDraw = True
54.7665 	EXP 	button_right: autoDraw = True
54.7665 	EXP 	trial_label_right: autoDraw = True
55.9790 	DATA 	Mouse: Left button down, pos=(1242,282)
56.0041 	EXP 	fixation: autoDraw = False
56.0041 	EXP 	image_stim: autoDraw = False
56.0041 	EXP 	text_stim: autoDraw = False
56.0041 	EXP 	button_left: autoDraw = False
56.0041 	EXP 	trial_label_left: autoDraw = False
56.0041 	EXP 	button_right: autoDraw = False
56.0041 	EXP 	trial_label_right: autoDraw = False
56.0041 	EXP 	feedback_msg: text = '+'
56.0041 	EXP 	feedback_msg: autoDraw = True
56.0702 	DATA 	Mouse:  Left button up, pos=(1242,282)
57.0034 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimImage', 'stimuli/black_1.jpg'), ('stimWord', ' '), ('CorrAns', 'l')])
57.0280 	EXP 	feedback_msg: autoDraw = False
57.0280 	EXP 	image_stim: image = 'stimuli/black_1.jpg'
57.0280 	EXP 	text_stim: text = ' '
57.0280 	EXP 	trial_label_left: text = 'A = \nWhite'
57.0280 	EXP 	trial_label_right: text = 'L = \nBlack'
57.0280 	EXP 	fixation: autoDraw = True
57.5045 	EXP 	fixation: autoDraw = False
57.5045 	EXP 	image_stim: autoDraw = True
57.5045 	EXP 	text_stim: autoDraw = True
57.5045 	EXP 	button_left: autoDraw = True
57.5045 	EXP 	trial_label_left: autoDraw = True
57.5045 	EXP 	button_right: autoDraw = True
57.5045 	EXP 	trial_label_right: autoDraw = True
58.2421 	DATA 	Mouse: Left button down, pos=(1260,292)
58.2678 	EXP 	fixation: autoDraw = False
58.2678 	EXP 	image_stim: autoDraw = False
58.2678 	EXP 	text_stim: autoDraw = False
58.2678 	EXP 	button_left: autoDraw = False
58.2678 	EXP 	trial_label_left: autoDraw = False
58.2678 	EXP 	button_right: autoDraw = False
58.2678 	EXP 	trial_label_right: autoDraw = False
58.2678 	EXP 	feedback_msg: text = '+'
58.2678 	EXP 	feedback_msg: autoDraw = True
58.3121 	DATA 	Mouse:  Left button up, pos=(1260,292)
59.2655 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimImage', 'stimuli/white_3.jpg'), ('stimWord', ' '), ('CorrAns', 'a')])
59.2888 	EXP 	feedback_msg: autoDraw = False
59.2888 	EXP 	image_stim: image = 'stimuli/white_3.jpg'
59.2888 	EXP 	text_stim: text = ' '
59.2888 	EXP 	trial_label_left: text = 'A = \nWhite'
59.2888 	EXP 	trial_label_right: text = 'L = \nBlack'
59.2888 	EXP 	fixation: autoDraw = True
59.7614 	EXP 	fixation: autoDraw = False
59.7614 	EXP 	image_stim: autoDraw = True
59.7614 	EXP 	text_stim: autoDraw = True
59.7614 	EXP 	button_left: autoDraw = True
59.7614 	EXP 	trial_label_left: autoDraw = True
59.7614 	EXP 	button_right: autoDraw = True
59.7614 	EXP 	trial_label_right: autoDraw = True
60.8469 	DATA 	Mouse: Left button down, pos=(696,217)
60.8714 	EXP 	fixation: autoDraw = False
60.8714 	EXP 	image_stim: autoDraw = False
60.8714 	EXP 	text_stim: autoDraw = False
60.8714 	EXP 	button_left: autoDraw = False
60.8714 	EXP 	trial_label_left: autoDraw = False
60.8714 	EXP 	button_right: autoDraw = False
60.8714 	EXP 	trial_label_right: autoDraw = False
60.8714 	EXP 	feedback_msg: text = '+'
60.8714 	EXP 	feedback_msg: autoDraw = True
60.9192 	DATA 	Mouse:  Left button up, pos=(702,215)
61.8559 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimImage', 'stimuli/black_5.jpg'), ('stimWord', ' '), ('CorrAns', 'l')])
61.8799 	EXP 	feedback_msg: autoDraw = False
61.8799 	EXP 	image_stim: image = 'stimuli/black_5.jpg'
61.8799 	EXP 	text_stim: text = ' '
61.8799 	EXP 	trial_label_left: text = 'A = \nWhite'
61.8799 	EXP 	trial_label_right: text = 'L = \nBlack'
61.8799 	EXP 	fixation: autoDraw = True
62.3534 	EXP 	fixation: autoDraw = False
62.3534 	EXP 	image_stim: autoDraw = True
62.3534 	EXP 	text_stim: autoDraw = True
62.3534 	EXP 	button_left: autoDraw = True
62.3534 	EXP 	trial_label_left: autoDraw = True
62.3534 	EXP 	button_right: autoDraw = True
62.3534 	EXP 	trial_label_right: autoDraw = True
63.2130 	DATA 	Mouse: Left button down, pos=(1283,214)
63.2379 	EXP 	fixation: autoDraw = False
63.2379 	EXP 	image_stim: autoDraw = False
63.2379 	EXP 	text_stim: autoDraw = False
63.2379 	EXP 	button_left: autoDraw = False
63.2379 	EXP 	trial_label_left: autoDraw = False
63.2379 	EXP 	button_right: autoDraw = False
63.2379 	EXP 	trial_label_right: autoDraw = False
63.2379 	EXP 	feedback_msg: text = '+'
63.2379 	EXP 	feedback_msg: autoDraw = True
63.3242 	DATA 	Mouse:  Left button up, pos=(1283,214)
64.2346 	EXP 	New trial (rep=0, index=2): OrderedDict([('conds_file', 'cong_test.xlsx'), ('label_left', 'A = \nWhite or \nPositive'), ('label_right', 'L = \nBlack or \nNegative')])
64.2656 	EXP 	feedback_msg: autoDraw = False
64.2656 	EXP 	ready_label_L: text = 'A = \nWhite or \nPositive'
64.2656 	EXP 	ready_label_R: text = 'L = \nBlack or \nNegative'
64.2656 	EXP 	main_ready_msg: autoDraw = True
64.2656 	EXP 	button_L: autoDraw = True
64.2656 	EXP 	ready_label_L: autoDraw = True
64.2656 	EXP 	button_R: autoDraw = True
64.2656 	EXP 	ready_label_R: autoDraw = True
66.1169 	DATA 	Keypress: space
66.1528 	EXP 	Imported resources/cong_test.xlsx as conditions, 20 conditions, 3 params
66.1533 	EXP 	Created sequence: random, trialTypes=20, nReps=1, seed=None
66.1536 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimImage', 'stimuli/black_5.jpg'), ('stimWord', ' '), ('CorrAns', 'l')])
66.1811 	EXP 	main_ready_msg: autoDraw = False
66.1811 	EXP 	button_L: autoDraw = False
66.1811 	EXP 	ready_label_L: autoDraw = False
66.1811 	EXP 	button_R: autoDraw = False
66.1811 	EXP 	ready_label_R: autoDraw = False
66.1811 	EXP 	image_stim: image = 'stimuli/black_5.jpg'
66.1811 	EXP 	text_stim: text = ' '
66.1811 	EXP 	trial_label_left: text = 'A = \nWhite or \nPositive'
66.1811 	EXP 	trial_label_right: text = 'L = \nBlack or \nNegative'
66.1811 	EXP 	fixation: autoDraw = True
66.6535 	EXP 	fixation: autoDraw = False
66.6535 	EXP 	image_stim: autoDraw = True
66.6535 	EXP 	text_stim: autoDraw = True
66.6535 	EXP 	button_left: autoDraw = True
66.6535 	EXP 	trial_label_left: autoDraw = True
66.6535 	EXP 	button_right: autoDraw = True
66.6535 	EXP 	trial_label_right: autoDraw = True
67.6674 	DATA 	Mouse: Left button down, pos=(1305,239)
67.7183 	EXP 	fixation: autoDraw = False
67.7183 	EXP 	image_stim: autoDraw = False
67.7183 	EXP 	text_stim: autoDraw = False
67.7183 	EXP 	button_left: autoDraw = False
67.7183 	EXP 	trial_label_left: autoDraw = False
67.7183 	EXP 	button_right: autoDraw = False
67.7183 	EXP 	trial_label_right: autoDraw = False
67.7183 	EXP 	feedback_msg: text = '+'
67.7183 	EXP 	feedback_msg: autoDraw = True
67.7404 	DATA 	Mouse:  Left button up, pos=(1305,239)
68.7094 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimImage', 'stimuli/black_2.jpg'), ('stimWord', ' '), ('CorrAns', 'l')])
68.7351 	EXP 	feedback_msg: autoDraw = False
68.7351 	EXP 	image_stim: image = 'stimuli/black_2.jpg'
68.7351 	EXP 	text_stim: text = ' '
68.7351 	EXP 	trial_label_left: text = 'A = \nWhite or \nPositive'
68.7351 	EXP 	trial_label_right: text = 'L = \nBlack or \nNegative'
68.7351 	EXP 	fixation: autoDraw = True
69.2092 	EXP 	fixation: autoDraw = False
69.2092 	EXP 	image_stim: autoDraw = True
69.2092 	EXP 	text_stim: autoDraw = True
69.2092 	EXP 	button_left: autoDraw = True
69.2092 	EXP 	trial_label_left: autoDraw = True
69.2092 	EXP 	button_right: autoDraw = True
69.2092 	EXP 	trial_label_right: autoDraw = True
70.0042 	DATA 	Mouse: Left button down, pos=(1298,247)
70.0283 	EXP 	fixation: autoDraw = False
70.0283 	EXP 	image_stim: autoDraw = False
70.0283 	EXP 	text_stim: autoDraw = False
70.0283 	EXP 	button_left: autoDraw = False
70.0283 	EXP 	trial_label_left: autoDraw = False
70.0283 	EXP 	button_right: autoDraw = False
70.0283 	EXP 	trial_label_right: autoDraw = False
70.0283 	EXP 	feedback_msg: text = '+'
70.0283 	EXP 	feedback_msg: autoDraw = True
70.1153 	DATA 	Mouse:  Left button up, pos=(1298,247)
71.0259 	EXP 	New trial (rep=0, index=2): OrderedDict([('stimImage', 'stimuli/white_3.jpg'), ('stimWord', ' '), ('CorrAns', 'a')])
71.0515 	EXP 	feedback_msg: autoDraw = False
71.0515 	EXP 	image_stim: image = 'stimuli/white_3.jpg'
71.0515 	EXP 	text_stim: text = ' '
71.0515 	EXP 	trial_label_left: text = 'A = \nWhite or \nPositive'
71.0515 	EXP 	trial_label_right: text = 'L = \nBlack or \nNegative'
71.0515 	EXP 	fixation: autoDraw = True
71.5247 	EXP 	fixation: autoDraw = False
71.5247 	EXP 	image_stim: autoDraw = True
71.5247 	EXP 	text_stim: autoDraw = True
71.5247 	EXP 	button_left: autoDraw = True
71.5247 	EXP 	trial_label_left: autoDraw = True
71.5247 	EXP 	button_right: autoDraw = True
71.5247 	EXP 	trial_label_right: autoDraw = True
72.4594 	DATA 	Mouse: Left button down, pos=(634,221)
72.4847 	EXP 	fixation: autoDraw = False
72.4847 	EXP 	image_stim: autoDraw = False
72.4847 	EXP 	text_stim: autoDraw = False
72.4847 	EXP 	button_left: autoDraw = False
72.4847 	EXP 	trial_label_left: autoDraw = False
72.4847 	EXP 	button_right: autoDraw = False
72.4847 	EXP 	trial_label_right: autoDraw = False
72.4847 	EXP 	feedback_msg: text = '+'
72.4847 	EXP 	feedback_msg: autoDraw = True
72.5286 	DATA 	Mouse:  Left button up, pos=(634,221)
73.4810 	EXP 	New trial (rep=0, index=3): OrderedDict([('stimImage', 'stimuli/black_3.jpg'), ('stimWord', ' '), ('CorrAns', 'l')])
73.5071 	EXP 	feedback_msg: autoDraw = False
73.5071 	EXP 	image_stim: image = 'stimuli/black_3.jpg'
73.5071 	EXP 	text_stim: text = ' '
73.5071 	EXP 	trial_label_left: text = 'A = \nWhite or \nPositive'
73.5071 	EXP 	trial_label_right: text = 'L = \nBlack or \nNegative'
73.5071 	EXP 	fixation: autoDraw = True
73.9829 	EXP 	fixation: autoDraw = False
73.9829 	EXP 	image_stim: autoDraw = True
73.9829 	EXP 	text_stim: autoDraw = True
73.9829 	EXP 	button_left: autoDraw = True
73.9829 	EXP 	trial_label_left: autoDraw = True
73.9829 	EXP 	button_right: autoDraw = True
73.9829 	EXP 	trial_label_right: autoDraw = True
74.5482 	DATA 	Mouse: Left button down, pos=(1265,254)
74.5761 	EXP 	fixation: autoDraw = False
74.5761 	EXP 	image_stim: autoDraw = False
74.5761 	EXP 	text_stim: autoDraw = False
74.5761 	EXP 	button_left: autoDraw = False
74.5761 	EXP 	trial_label_left: autoDraw = False
74.5761 	EXP 	button_right: autoDraw = False
74.5761 	EXP 	trial_label_right: autoDraw = False
74.5761 	EXP 	feedback_msg: text = '+'
74.5761 	EXP 	feedback_msg: autoDraw = True
74.6619 	DATA 	Mouse:  Left button up, pos=(1265,254)
75.5724 	EXP 	New trial (rep=0, index=4): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Pleasure'), ('CorrAns', 'a')])
75.5981 	EXP 	feedback_msg: autoDraw = False
75.5981 	EXP 	image_stim: image = 'stimuli/blank.png'
75.5981 	EXP 	text_stim: text = 'Pleasure'
75.5981 	EXP 	trial_label_left: text = 'A = \nWhite or \nPositive'
75.5981 	EXP 	trial_label_right: text = 'L = \nBlack or \nNegative'
75.5981 	EXP 	fixation: autoDraw = True
76.0860 	EXP 	fixation: autoDraw = False
76.0860 	EXP 	image_stim: autoDraw = True
76.0860 	EXP 	text_stim: autoDraw = True
76.0860 	EXP 	button_left: autoDraw = True
76.0860 	EXP 	trial_label_left: autoDraw = True
76.0860 	EXP 	button_right: autoDraw = True
76.0860 	EXP 	trial_label_right: autoDraw = True
76.8723 	DATA 	Mouse: Left button down, pos=(578,232)
76.8980 	EXP 	fixation: autoDraw = False
76.8980 	EXP 	image_stim: autoDraw = False
76.8980 	EXP 	text_stim: autoDraw = False
76.8980 	EXP 	button_left: autoDraw = False
76.8980 	EXP 	trial_label_left: autoDraw = False
76.8980 	EXP 	button_right: autoDraw = False
76.8980 	EXP 	trial_label_right: autoDraw = False
76.8980 	EXP 	feedback_msg: text = '+'
76.8980 	EXP 	feedback_msg: autoDraw = True
76.9837 	DATA 	Mouse:  Left button up, pos=(578,232)
77.8916 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Nasty'), ('CorrAns', 'l')])
77.9163 	EXP 	feedback_msg: autoDraw = False
77.9163 	EXP 	image_stim: image = 'stimuli/blank.png'
77.9163 	EXP 	text_stim: text = 'Nasty'
77.9163 	EXP 	trial_label_left: text = 'A = \nWhite or \nPositive'
77.9163 	EXP 	trial_label_right: text = 'L = \nBlack or \nNegative'
77.9163 	EXP 	fixation: autoDraw = True
78.3853 	EXP 	fixation: autoDraw = False
78.3853 	EXP 	image_stim: autoDraw = True
78.3853 	EXP 	text_stim: autoDraw = True
78.3853 	EXP 	button_left: autoDraw = True
78.3853 	EXP 	trial_label_left: autoDraw = True
78.3853 	EXP 	button_right: autoDraw = True
78.3853 	EXP 	trial_label_right: autoDraw = True
79.0184 	DATA 	Mouse: Left button down, pos=(1378,267)
79.0435 	EXP 	fixation: autoDraw = False
79.0435 	EXP 	image_stim: autoDraw = False
79.0435 	EXP 	text_stim: autoDraw = False
79.0435 	EXP 	button_left: autoDraw = False
79.0435 	EXP 	trial_label_left: autoDraw = False
79.0435 	EXP 	button_right: autoDraw = False
79.0435 	EXP 	trial_label_right: autoDraw = False
79.0435 	EXP 	feedback_msg: text = '+'
79.0435 	EXP 	feedback_msg: autoDraw = True
79.0865 	DATA 	Mouse:  Left button up, pos=(1378,267)
80.0371 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Bad'), ('CorrAns', 'l')])
80.0641 	EXP 	feedback_msg: autoDraw = False
80.0641 	EXP 	image_stim: image = 'stimuli/blank.png'
80.0641 	EXP 	text_stim: text = 'Bad'
80.0641 	EXP 	trial_label_left: text = 'A = \nWhite or \nPositive'
80.0641 	EXP 	trial_label_right: text = 'L = \nBlack or \nNegative'
80.0641 	EXP 	fixation: autoDraw = True
80.5351 	EXP 	fixation: autoDraw = False
80.5351 	EXP 	image_stim: autoDraw = True
80.5351 	EXP 	text_stim: autoDraw = True
80.5351 	EXP 	button_left: autoDraw = True
80.5351 	EXP 	trial_label_left: autoDraw = True
80.5351 	EXP 	button_right: autoDraw = True
80.5351 	EXP 	trial_label_right: autoDraw = True
80.5390 	DATA 	Keypress: escape
80.7304 	EXP 	window1: mouseVisible = True
