instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.156481513,-0.364814841,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133333364,-0.386111138,1,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.653785,,,,,,,,0.653785,1,0,0,0,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.60011,,,,,,,,0.60011,1,0,1,1,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.783295,,,,,,,,0.783295,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,1.13158,,,,,,,,1.13158,1,0,3,3,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,1.544155,,,,,,,,1.544155,1,0,4,4,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,2.713085,,,,,,,,2.713085,1,0,5,5,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,2.7428,,,,,,,,2.7428,1,0,6,6,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.60922,,,,,,,,0.60922,1,0,7,7,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.901175,,,,,,,,0.901175,1,0,8,8,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.516625,,,,,,,,0.516625,1,0,9,9,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.96013,,,,,,,,0.96013,1,0,10,10,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.66592,,,,,,,,0.66592,1,0,11,11,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,5.850445,,,,,,,,5.850445,1,0,12,12,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.794485,,,,,,,,0.794485,1,0,13,13,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.71084,,,,,,,,0.71084,1,0,14,14,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,5.492375,,,,,,,,5.492375,1,0,15,15,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.64454,,,,,,,,0.64454,1,0,16,16,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.610735,,,,,,,,0.610735,1,0,17,17,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.694425,,,,,,,,0.694425,1,0,18,18,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.5275,,,,,,,,0.5275,1,0,19,19,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,4.49932,,,,,,,,4.49932,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,2.497695,,,,,,,,2.497695,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,2.09341,,,,,,,,2.09341,1,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,1.07997,,,,,,,,1.07997,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.642585,,,,,,,,0.642585,1,0,4,4,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.46299,,,,,,,,0.46299,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,1.062455,,,,,,,,1.062455,1,0,6,6,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,1.09365,,,,,,,,1.09365,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,0,1.242185,,,,,,,,1.242185,0,0,8,8,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,1.52806,,,,,,,,1.52806,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,cong_train.xlsx,"A = 
White","L = 
Black"
