instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.013888863,-0.238888911,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.290740776,-0.347222247,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.418518575,-0.30648151,1,0,0,1.320295,button_right,1.320295,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.378703732,-0.314814843,1,0,0,1.21418,button_right,1.21418,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.414814843,-0.313888889,1,0,0,0.881065,button_right,0.881065,0,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.445370399,-0.322222222,1,0,0,2.0771,button_right,2.0771,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.450925912,-0.337037065,1,0,0,1.48001,button_left,1.48001,0,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.574074067,-0.43148151,1,0,0,2.02936,button_left,2.02936,1,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.410185242,-0.279629686,1,0,0,1.283635,button_right,1.283635,1,0,3,3,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.426851824,-0.310185242,1,0,0,0.947015,button_left,0.947015,1,0,4,4,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.458333333,-0.301851908,1,0,0,0.75328,button_right,0.75328,1,0,5,5,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
