instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt
0.0125,-0.4,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",A,2,001,male,2021-01-21_10h47.11.965,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0.0125,-0.39875,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",A,2,001,male,2021-01-21_10h47.11.965,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,A,2,001,male,2021-01-21_10h47.11.965,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.35,-0.29375,1,0,0,5.15,button_left,5.15,1,0,0,0,8,1,stimuli/blank.png,Joy,a,
,,,,,,,,,,,,,A,2,001,male,2021-01-21_10h47.11.965,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,1.503,1,0,1,1,1,1,stimuli/blank.png,Bad,l,1.503
,,,,,,,,,,,,,A,2,001,male,2021-01-21_10h47.11.965,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,3.423,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,3.423
,,,,,,,,,,,,,A,2,001,male,2021-01-21_10h47.11.965,openIAT,2020.1.0rc3,MacIntel,60,l,0,,,,,,,,2.33,0,0,3,3,2,1,stimuli/blank.png,Happy,a,2.33
,,,,,,,,,,,,,A,2,001,male,2021-01-21_10h47.11.965,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.33125,-0.27625,1,0,0,2.299,button_left,2.299,1,0,4,4,6,1,stimuli/blank.png,Love,a,
,,,,,,,,,,,,,A,2,001,male,2021-01-21_10h47.11.965,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,4.929,1,0,5,5,0,1,stimuli/blank.png,Good,a,4.929
